HL70126=RD,Records,HL70126
LANGUAGE FULL=tkl,Tokelau,HL70296
LANGUAGE FULL=tog,Tonga (Nyasa),HL70296
LANGUAGE FULL=ton,Tonga (Tonga Islands),HL70296
LANGUAGE FULL=tsi,Tsimshian,HL70296
LANGUAGE FULL=tso,Tsonga,HL70296
LANGUAGE FULL=tsn,Tswana,HL70296
LANGUAGE FULL=tum,Tumbuka,HL70296
LANGUAGE FULL=tup,Tupi languages,HL70296
LANGUAGE FULL=tur,Turkish,HL70296
LANGUAGE FULL=ota,Turkish, Ottoman (1500-1928),HL70296
LANGUAGE FULL=tuk,Turkmen,HL70296
LANGUAGE FULL=tvl,Tuvalu,HL70296
LANGUAGE FULL=tyv,Tuvinian,HL70296
LANGUAGE FULL=twi,Twi,HL70296
LANGUAGE FULL=udm,Udmurt,HL70296
LANGUAGE FULL=uga,Ugaritic,HL70296
LANGUAGE FULL=uig,Uighur; Uyghur,HL70296
LANGUAGE FULL=ukr,Ukrainian,HL70296
LANGUAGE FULL=umb,Umbundu,HL70296
LANGUAGE FULL=mis,Uncoded languages,HL70296
LANGUAGE FULL=und,Undetermined,HL70296
LANGUAGE FULL=hsb,Upper Sorbian,HL70296
LANGUAGE FULL=urd,Urdu,HL70296
LANGUAGE FULL=uzb,Uzbek,HL70296
LANGUAGE FULL=vai,Vai,HL70296
LANGUAGE FULL=ven,Venda,HL70296
LANGUAGE FULL=vie,Vietnamese,HL70296
LANGUAGE FULL=vol,Volapük,HL70296
LANGUAGE FULL=vot,Votic,HL70296
LANGUAGE FULL=wak,Wakashan languages,HL70296
LANGUAGE FULL=wal,Walamo,HL70296
LANGUAGE FULL=wln,Walloon,HL70296
LANGUAGE FULL=war,Waray,HL70296
LANGUAGE FULL=was,Washo,HL70296
LANGUAGE FULL=wel,Welsh,HL70296
LANGUAGE FULL=fry,Western Frisian,HL70296
LANGUAGE FULL=wol,Wolof,HL70296
LANGUAGE FULL=xho,Xhosa,HL70296
LANGUAGE FULL=sah,Yakut,HL70296
LANGUAGE FULL=yao,Yao,HL70296
LANGUAGE FULL=yap,Yapese,HL70296
LANGUAGE FULL=yid,Yiddish,HL70296
LANGUAGE FULL=yor,Yoruba,HL70296
LANGUAGE FULL=ypk,Yupik languages,HL70296
LANGUAGE FULL=znd,Zande languages,HL70296
LANGUAGE FULL=zap,Zapotec,HL70296
LANGUAGE FULL=zza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,HL70296
LANGUAGE FULL=zen,Zenaga,HL70296
LANGUAGE FULL=zha,Zhuang; Chuang,HL70296
LANGUAGE FULL=zul,Zulu,HL70296
LANGUAGE FULL=zun,Zuni,HL70296
RACE FULL=1006-6,Abenaki,HL70005
RACE FULL=1579-2,Absentee Shawnee,HL70005
RACE FULL=1490-2,Acoma,HL70005
RACE FULL=2126-1,Afghanistani,HL70005
RACE FULL=2060-2,African,HL70005
RACE FULL=2058-6,African American,HL70005
RACE FULL=1994-3,Agdaagux,HL70005
RACE FULL=1212-0,Agua Caliente,HL70005
RACE FULL=1045-4,Agua Caliente Cahuilla,HL70005
RACE FULL=1740-0,Ahtna,HL70005
RACE FULL=1654-3,Ak-Chin,HL70005
RACE FULL=1993-5,Akhiok,HL70005
RACE FULL=1897-8,Akiachak,HL70005
RACE FULL=1898-6,Akiak,HL70005
RACE FULL=2007-3,Akutan,HL70005
RACE FULL=1187-4,Alabama Coushatta,HL70005
RACE FULL=1194-0,Alabama Creek,HL70005
RACE FULL=1195-7,Alabama Quassarte,HL70005
RACE FULL=1899-4,Alakanuk,HL70005
RACE FULL=1383-9,Alamo Navajo,HL70005
RACE FULL=1744-2,Alanvik,HL70005
RACE FULL=1737-6,Alaska Indian,HL70005
RACE FULL=1735-0,Alaska Native,HL70005
RACE FULL=1739-2,Alaskan Athabascan,HL70005
RACE FULL=1741-8,Alatna,HL70005
RACE FULL=1900-0,Aleknagik,HL70005
RACE FULL=1966-1,Aleut,HL70005
RACE FULL=2008-1,Aleut Corporation,HL70005
RACE FULL=2009-9,Aleutian,HL70005
RACE FULL=2010-7,Aleutian Islander,HL70005
RACE FULL=1742-6,Alexander,HL70005
RACE FULL=1008-2,Algonquian,HL70005
RACE FULL=1743-4,Allakaket,HL70005
RACE FULL=1671-7,Allen Canyon,HL70005
RACE FULL=1688-1,Alpine,HL70005
RACE FULL=1392-0,Alsea,HL70005
RACE FULL=1968-7,Alutiiq Aleut,HL70005
RACE FULL=1845-7,Ambler,HL70005
RACE FULL=1004-1,American Indian,HL70005
RACE FULL=1002-5,American Indian or Alaska Native,HL70005
RACE FULL=1846-5,Anaktuvuk,HL70005
RACE FULL=1847-3,Anaktuvuk Pass,HL70005
RACE FULL=1901-8,Andreafsky,HL70005
RACE FULL=1814-3,Angoon,HL70005
RACE FULL=1902-6,Aniak,HL70005
RACE FULL=1745-9,Anvik,HL70005
RACE FULL=1010-8,Apache,HL70005
RACE FULL=2129-5,Arab,HL70005
RACE FULL=1021-5,Arapaho,HL70005
RACE FULL=1746-7,Arctic,HL70005
RACE FULL=1849-9,Arctic Slope Corporation,HL70005
RACE FULL=1848-1,Arctic Slope Inupiat,HL70005
RACE FULL=1026-4,Arikara,HL70005
RACE FULL=1491-0,Arizona Tewa,HL70005
RACE FULL=2109-7,Armenian,HL70005
RACE FULL=1366-4,Aroostook,HL70005
RACE FULL=2028-9,Asian,HL70005
RACE FULL=2029-7,Asian Indian,HL70005
RACE FULL=1028-0,Assiniboine,HL70005
RACE FULL=1030-6,Assiniboine Sioux,HL70005
RACE FULL=2119-6,Assyrian,HL70005
RACE FULL=2011-5,Atka,HL70005
RACE FULL=1903-4,Atmautluak,HL70005
RACE FULL=1850-7,Atqasuk,HL70005
RACE FULL=1265-8,Atsina,HL70005
RACE FULL=1234-4,Attacapa,HL70005
RACE FULL=1046-2,Augustine,HL70005
RACE FULL=1124-7,Bad River,HL70005
RACE FULL=2067-7,Bahamian,HL70005
RACE FULL=2030-5,Bangladeshi,HL70005
RACE FULL=1033-0,Bannock,HL70005
RACE FULL=2068-5,Barbadian,HL70005
RACE FULL=1712-9,Barrio Libre,HL70005
RACE FULL=1851-5,Barrow,HL70005
RACE FULL=1587-5,Battle Mountain,HL70005
RACE FULL=1125-4,Bay Mills Chippewa,HL70005
RACE FULL=1747-5,Beaver,HL70005
RACE FULL=2012-3,Belkofski,HL70005
RACE FULL=1852-3,Bering Straits Inupiat,HL70005
RACE FULL=1904-2,Bethel,HL70005
RACE FULL=2031-3,Bhutanese,HL70005
RACE FULL=1567-7,Big Cypress,HL70005
RACE FULL=1905-9,Bill Moore's Slough,HL70005
RACE FULL=1235-1,Biloxi,HL70005
RACE FULL=1748-3,Birch Creek,HL70005
RACE FULL=1417-5,Bishop,HL70005
RACE FULL=2056-0,Black,HL70005
RACE FULL=2054-5,Black or African American,HL70005
RACE FULL=1035-5,Blackfeet,HL70005
RACE FULL=1610-5,Blackfoot Sioux,HL70005
RACE FULL=1126-2,Bois Forte,HL70005
RACE FULL=2061-0,Botswanan,HL70005
RACE FULL=1853-1,Brevig Mission,HL70005
RACE FULL=1418-3,Bridgeport,HL70005
RACE FULL=1568-5,Brighton,HL70005
RACE FULL=1972-9,Bristol Bay Aleut,HL70005
RACE FULL=1906-7,Bristol Bay Yupik,HL70005
RACE FULL=1037-1,Brotherton,HL70005
RACE FULL=1611-3,Brule Sioux,HL70005
RACE FULL=1854-9,Buckland,HL70005
RACE FULL=2032-1,Burmese,HL70005
RACE FULL=1419-1,Burns Paiute,HL70005
RACE FULL=1039-7,Burt Lake Band,HL70005
RACE FULL=1127-0,Burt Lake Chippewa,HL70005
RACE FULL=1412-6,Burt Lake Ottawa,HL70005
RACE FULL=1047-0,Cabazon,HL70005
RACE FULL=1041-3,Caddo,HL70005
RACE FULL=1054-6,Cahto,HL70005
RACE FULL=1044-7,Cahuilla,HL70005
RACE FULL=1053-8,California Tribes,HL70005
RACE FULL=1907-5,Calista Yupik,HL70005
RACE FULL=2033-9,Cambodian,HL70005
RACE FULL=1223-7,Campo,HL70005
RACE FULL=1068-6,Canadian and Latin American Indian,HL70005
RACE FULL=1069-4,Canadian Indian,HL70005
RACE FULL=1384-7,Canoncito Navajo,HL70005
RACE FULL=1749-1,Cantwell,HL70005
RACE FULL=1224-5,Capitan Grande,HL70005
RACE FULL=2092-5,Carolinian,HL70005
RACE FULL=1689-9,Carson,HL70005
RACE FULL=1076-9,Catawba,HL70005
RACE FULL=1286-4,Cayuga,HL70005
RACE FULL=1078-5,Cayuse,HL70005
RACE FULL=1420-9,Cedarville,HL70005
RACE FULL=1393-8,Celilo,HL70005
RACE FULL=1070-2,Central American Indian,HL70005
RACE FULL=1815-0,Central Council of Tlingit and Haida Tribes,HL70005
RACE FULL=1465-4,Central Pomo,HL70005
RACE FULL=1750-9,Chalkyitsik,HL70005
RACE FULL=2088-3,Chamorro,HL70005
RACE FULL=1908-3,Chefornak,HL70005
RACE FULL=1080-1,Chehalis,HL70005
RACE FULL=1082-7,Chemakuan,HL70005
RACE FULL=1086-8,Chemehuevi,HL70005
RACE FULL=1985-1,Chenega,HL70005
RACE FULL=1088-4,Cherokee,HL70005
RACE FULL=1089-2,Cherokee Alabama,HL70005
RACE FULL=1100-7,Cherokee Shawnee,HL70005
RACE FULL=1090-0,Cherokees of Northeast Alabama,HL70005
RACE FULL=1091-8,Cherokees of Southeast Alabama,HL70005
RACE FULL=1909-1,Chevak,HL70005
RACE FULL=1102-3,Cheyenne,HL70005
RACE FULL=1612-1,Cheyenne River Sioux,HL70005
RACE FULL=1106-4,Cheyenne-Arapaho,HL70005
RACE FULL=1108-0,Chickahominy,HL70005
RACE FULL=1751-7,Chickaloon,HL70005
RACE FULL=1112-2,Chickasaw,HL70005
RACE FULL=1973-7,Chignik,HL70005
RACE FULL=2013-1,Chignik Lagoon,HL70005
RACE FULL=1974-5,Chignik Lake,HL70005
RACE FULL=1816-8,Chilkat,HL70005
RACE FULL=1817-6,Chilkoot,HL70005
RACE FULL=1055-3,Chimariko,HL70005
RACE FULL=2034-7,Chinese,HL70005
RACE FULL=1855-6,Chinik,HL70005
RACE FULL=1114-8,Chinook,HL70005
RACE FULL=1123-9,Chippewa,HL70005
RACE FULL=1150-2,Chippewa Cree,HL70005
RACE FULL=1011-6,Chiricahua,HL70005
RACE FULL=1752-5,Chistochina,HL70005
RACE FULL=1153-6,Chitimacha,HL70005
RACE FULL=1753-3,Chitina,HL70005
RACE FULL=1155-1,Choctaw,HL70005
RACE FULL=1910-9,Chuathbaluk,HL70005
RACE FULL=1984-4,Chugach Aleut,HL70005
RACE FULL=1986-9,Chugach Corporation,HL70005
RACE FULL=1718-6,Chukchansi,HL70005
RACE FULL=1162-7,Chumash,HL70005
RACE FULL=2097-4,Chuukese,HL70005
RACE FULL=1754-1,Circle,HL70005
RACE FULL=1479-5,Citizen Band Potawatomi,HL70005
RACE FULL=1911-7,Clark's Point,HL70005
RACE FULL=1115-5,Clatsop,HL70005
RACE FULL=1165-0,Clear Lake,HL70005
RACE FULL=1156-9,Clifton Choctaw,HL70005
RACE FULL=1056-1,Coast Miwok,HL70005
RACE FULL=1733-5,Coast Yurok,HL70005
RACE FULL=1492-8,Cochiti,HL70005
RACE FULL=1725-1,Cocopah,HL70005
RACE FULL=1167-6,Coeur D'Alene,HL70005
RACE FULL=1169-2,Coharie,HL70005
RACE FULL=1171-8,Colorado River,HL70005
RACE FULL=1394-6,Columbia,HL70005
RACE FULL=1116-3,Columbia River Chinook,HL70005
RACE FULL=1173-4,Colville,HL70005
RACE FULL=1175-9,Comanche,HL70005
RACE FULL=1755-8,Cook Inlet,HL70005
RACE FULL=1180-9,Coos,HL70005
RACE FULL=1178-3,Coos, Lower Umpqua, Siuslaw,HL70005
RACE FULL=1756-6,Copper Center,HL70005
RACE FULL=1757-4,Copper River,HL70005
RACE FULL=1182-5,Coquilles,HL70005
RACE FULL=1184-1,Costanoan,HL70005
RACE FULL=1856-4,Council,HL70005
RACE FULL=1186-6,Coushatta,HL70005
RACE FULL=1668-3,Cow Creek Umpqua,HL70005
RACE FULL=1189-0,Cowlitz,HL70005
RACE FULL=1818-4,Craig,HL70005
RACE FULL=1191-6,Cree,HL70005
RACE FULL=1193-2,Creek,HL70005
RACE FULL=1207-0,Croatan,HL70005
RACE FULL=1912-5,Crooked Creek,HL70005
RACE FULL=1209-6,Crow,HL70005
RACE FULL=1613-9,Crow Creek Sioux,HL70005
RACE FULL=1211-2,Cupeno,HL70005
RACE FULL=1225-2,Cuyapaipe,HL70005
RACE FULL=1614-7,Dakota Sioux,HL70005
RACE FULL=1857-2,Deering,HL70005
RACE FULL=1214-6,Delaware,HL70005
RACE FULL=1222-9,Diegueno,HL70005
RACE FULL=1057-9,Digger,HL70005
RACE FULL=1913-3,Dillingham,HL70005
RACE FULL=2070-1,Dominica Islander,HL70005
RACE FULL=2069-3,Dominican,HL70005
RACE FULL=1758-2,Dot Lake,HL70005
RACE FULL=1819-2,Douglas,HL70005
RACE FULL=1759-0,Doyon,HL70005
RACE FULL=1690-7,Dresslerville,HL70005
RACE FULL=1466-2,Dry Creek,HL70005
RACE FULL=1603-0,Duck Valley,HL70005
RACE FULL=1588-3,Duckwater,HL70005
RACE FULL=1519-8,Duwamish,HL70005
RACE FULL=1760-8,Eagle,HL70005
RACE FULL=1092-6,Eastern Cherokee,HL70005
RACE FULL=1109-8,Eastern Chickahominy,HL70005
RACE FULL=1196-5,Eastern Creek,HL70005
RACE FULL=1215-3,Eastern Delaware,HL70005
RACE FULL=1197-3,Eastern Muscogee,HL70005
RACE FULL=1467-0,Eastern Pomo,HL70005
RACE FULL=1580-0,Eastern Shawnee,HL70005
RACE FULL=1233-6,Eastern Tribes,HL70005
RACE FULL=1093-4,Echota Cherokee,HL70005
RACE FULL=1914-1,Eek,HL70005
RACE FULL=1975-2,Egegik,HL70005
RACE FULL=2120-4,Egyptian,HL70005
RACE FULL=1761-6,Eklutna,HL70005
RACE FULL=1915-8,Ekuk,HL70005
RACE FULL=1916-6,Ekwok,HL70005
RACE FULL=1858-0,Elim,HL70005
RACE FULL=1589-1,Elko,HL70005
RACE FULL=1590-9,Ely,HL70005
RACE FULL=1917-4,Emmonak,HL70005
RACE FULL=2110-5,English,HL70005
RACE FULL=1987-7,English Bay,HL70005
RACE FULL=1840-8,Eskimo,HL70005
RACE FULL=1250-0,Esselen,HL70005
RACE FULL=2062-8,Ethiopian,HL70005
RACE FULL=1094-2,Etowah Cherokee,HL70005
RACE FULL=2108-9,European,HL70005
RACE FULL=1762-4,Evansville,HL70005
RACE FULL=1990-1,Eyak,HL70005
RACE FULL=1604-8,Fallon,HL70005
RACE FULL=2015-6,False Pass,HL70005
RACE FULL=2101-4,Fijian,HL70005
RACE FULL=2036-2,Filipino,HL70005
RACE FULL=1615-4,Flandreau Santee,HL70005
RACE FULL=1569-3,Florida Seminole,HL70005
RACE FULL=1128-8,Fond du Lac,HL70005
RACE FULL=1480-3,Forest County,HL70005
RACE FULL=1252-6,Fort Belknap,HL70005
RACE FULL=1254-2,Fort Berthold,HL70005
RACE FULL=1421-7,Fort Bidwell,HL70005
RACE FULL=1258-3,Fort Hall,HL70005
RACE FULL=1422-5,Fort Independence,HL70005
RACE FULL=1605-5,Fort McDermitt,HL70005
RACE FULL=1256-7,Fort Mcdowell,HL70005
RACE FULL=1616-2,Fort Peck,HL70005
RACE FULL=1031-4,Fort Peck Assiniboine Sioux,HL70005
RACE FULL=1012-4,Fort Sill Apache,HL70005
RACE FULL=1763-2,Fort Yukon,HL70005
RACE FULL=2111-3,French,HL70005
RACE FULL=1071-0,French American Indian,HL70005
RACE FULL=1260-9,Gabrieleno,HL70005
RACE FULL=1764-0,Gakona,HL70005
RACE FULL=1765-7,Galena,HL70005
RACE FULL=1892-9,Gambell,HL70005
RACE FULL=1680-8,Gay Head Wampanoag,HL70005
RACE FULL=1236-9,Georgetown (Eastern Tribes),HL70005
RACE FULL=1962-0,Georgetown (Yupik-Eskimo),HL70005
RACE FULL=2112-1,German,HL70005
RACE FULL=1655-0,Gila Bend,HL70005
RACE FULL=1457-1,Gila River Pima-Maricopa,HL70005
RACE FULL=1859-8,Golovin,HL70005
RACE FULL=1918-2,Goodnews Bay,HL70005
RACE FULL=1591-7,Goshute,HL70005
RACE FULL=1129-6,Grand Portage,HL70005
RACE FULL=1262-5,Grand Ronde,HL70005
RACE FULL=1130-4,Grand Traverse Band of Ottawa/Chippewa,HL70005
RACE FULL=1766-5,Grayling,HL70005
RACE FULL=1842-4,Greenland Eskimo,HL70005
RACE FULL=1264-1,Gros Ventres,HL70005
RACE FULL=2087-5,Guamanian,HL70005
RACE FULL=2086-7,Guamanian or Chamorro,HL70005
RACE FULL=1767-3,Gulkana,HL70005
RACE FULL=1820-0,Haida,HL70005
RACE FULL=2071-9,Haitian,HL70005
RACE FULL=1267-4,Haliwa,HL70005
RACE FULL=1481-1,Hannahville,HL70005
RACE FULL=1726-9,Havasupai,HL70005
RACE FULL=1768-1,Healy Lake,HL70005
RACE FULL=1269-0,Hidatsa,HL70005
RACE FULL=2037-0,Hmong,HL70005
RACE FULL=1697-2,Ho-chunk,HL70005
RACE FULL=1083-5,Hoh,HL70005
RACE FULL=1570-1,Hollywood Seminole,HL70005
RACE FULL=1769-9,Holy Cross,HL70005
RACE FULL=1821-8,Hoonah,HL70005
RACE FULL=1271-6,Hoopa,HL70005
RACE FULL=1275-7,Hoopa Extension,HL70005
RACE FULL=1919-0,Hooper Bay,HL70005
RACE FULL=1493-6,Hopi,HL70005
RACE FULL=1277-3,Houma,HL70005
RACE FULL=1727-7,Hualapai,HL70005
RACE FULL=1770-7,Hughes,HL70005
RACE FULL=1482-9,Huron Potawatomi,HL70005
RACE FULL=1771-5,Huslia,HL70005
RACE FULL=1822-6,Hydaburg,HL70005
RACE FULL=1976-0,Igiugig,HL70005
RACE FULL=1772-3,Iliamna,HL70005
RACE FULL=1359-9,Illinois Miami,HL70005
RACE FULL=1279-9,Inaja-Cosmit,HL70005
RACE FULL=1860-6,Inalik Diomede,HL70005
RACE FULL=1442-3,Indian Township,HL70005
RACE FULL=1360-7,Indiana Miami,HL70005
RACE FULL=2038-8,Indonesian,HL70005
RACE FULL=1861-4,Inupiaq,HL70005
RACE FULL=1844-0,Inupiat Eskimo,HL70005
RACE FULL=1281-5,Iowa,HL70005
RACE FULL=1282-3,Iowa of Kansas-Nebraska,HL70005
RACE FULL=1283-1,Iowa of Oklahoma,HL70005
RACE FULL=1552-9,Iowa Sac and Fox,HL70005
RACE FULL=1920-8,Iqurmuit (Russian Mission),HL70005
RACE FULL=2121-2,Iranian,HL70005
RACE FULL=2122-0,Iraqi,HL70005
RACE FULL=2113-9,Irish,HL70005
RACE FULL=1285-6,Iroquois,HL70005
RACE FULL=1494-4,Isleta,HL70005
RACE FULL=2127-9,Israeili,HL70005
RACE FULL=2114-7,Italian,HL70005
RACE FULL=1977-8,Ivanof Bay,HL70005
RACE FULL=2048-7,Iwo Jiman,HL70005
RACE FULL=2072-7,Jamaican,HL70005
RACE FULL=1313-6,Jamestown,HL70005
RACE FULL=2039-6,Japanese,HL70005
RACE FULL=1495-1,Jemez,HL70005
RACE FULL=1157-7,Jena Choctaw,HL70005
RACE FULL=1013-2,Jicarilla Apache,HL70005
RACE FULL=1297-1,Juaneno,HL70005
RACE FULL=1423-3,Kaibab,HL70005
RACE FULL=1823-4,Kake,HL70005
RACE FULL=1862-2,Kaktovik,HL70005
RACE FULL=1395-3,Kalapuya,HL70005
RACE FULL=1299-7,Kalispel,HL70005
RACE FULL=1921-6,Kalskag,HL70005
RACE FULL=1773-1,Kaltag,HL70005
RACE FULL=1995-0,Karluk,HL70005
RACE FULL=1301-1,Karuk,HL70005
RACE FULL=1824-2,Kasaan,HL70005
RACE FULL=1468-8,Kashia,HL70005
RACE FULL=1922-4,Kasigluk,HL70005
RACE FULL=1117-1,Kathlamet,HL70005
RACE FULL=1303-7,Kaw,HL70005
RACE FULL=1058-7,Kawaiisu,HL70005
RACE FULL=1863-0,Kawerak,HL70005
RACE FULL=1825-9,Kenaitze,HL70005
RACE FULL=1496-9,Keres,HL70005
RACE FULL=1059-5,Kern River,HL70005
RACE FULL=1826-7,Ketchikan,HL70005
RACE FULL=1131-2,Keweenaw,HL70005
RACE FULL=1198-1,Kialegee,HL70005
RACE FULL=1864-8,Kiana,HL70005
RACE FULL=1305-2,Kickapoo,HL70005
RACE FULL=1520-6,Kikiallus,HL70005
RACE FULL=2014-9,King Cove,HL70005
RACE FULL=1978-6,King Salmon,HL70005
RACE FULL=1309-4,Kiowa,HL70005
RACE FULL=1923-2,Kipnuk,HL70005
RACE FULL=2096-6,Kiribati,HL70005
RACE FULL=1865-5,Kivalina,HL70005
RACE FULL=1312-8,Klallam,HL70005
RACE FULL=1317-7,Klamath,HL70005
RACE FULL=1827-5,Klawock,HL70005
RACE FULL=1774-9,Kluti Kaah,HL70005
RACE FULL=1775-6,Knik,HL70005
RACE FULL=1866-3,Kobuk,HL70005
RACE FULL=1996-8,Kodiak,HL70005
RACE FULL=1979-4,Kokhanok,HL70005
RACE FULL=1924-0,Koliganek,HL70005
RACE FULL=1925-7,Kongiganak,HL70005
RACE FULL=1992-7,Koniag Aleut,HL70005
RACE FULL=1319-3,Konkow,HL70005
RACE FULL=1321-9,Kootenai,HL70005
RACE FULL=2040-4,Korean,HL70005
RACE FULL=2093-3,Kosraean,HL70005
RACE FULL=1926-5,Kotlik,HL70005
RACE FULL=1867-1,Kotzebue,HL70005
RACE FULL=1868-9,Koyuk,HL70005
RACE FULL=1776-4,Koyukuk,HL70005
RACE FULL=1927-3,Kwethluk,HL70005
RACE FULL=1928-1,Kwigillingok,HL70005
RACE FULL=1869-7,Kwiguk,HL70005
RACE FULL=1332-6,La Jolla,HL70005
RACE FULL=1226-0,La Posta,HL70005
RACE FULL=1132-0,Lac Courte Oreilles,HL70005
RACE FULL=1133-8,Lac du Flambeau,HL70005
RACE FULL=1134-6,Lac Vieux Desert Chippewa,HL70005
RACE FULL=1497-7,Laguna,HL70005
RACE FULL=1777-2,Lake Minchumina,HL70005
RACE FULL=1135-3,Lake Superior,HL70005
RACE FULL=1617-0,Lake Traverse Sioux,HL70005
RACE FULL=2041-2,Laotian,HL70005
RACE FULL=1997-6,Larsen Bay,HL70005
RACE FULL=1424-1,Las Vegas,HL70005
RACE FULL=1323-5,Lassik,HL70005
RACE FULL=2123-8,Lebanese,HL70005
RACE FULL=1136-1,Leech Lake,HL70005
RACE FULL=1216-1,Lenni-Lenape,HL70005
RACE FULL=1929-9,Levelock,HL70005
RACE FULL=2063-6,Liberian,HL70005
RACE FULL=1778-0,Lime,HL70005
RACE FULL=1014-0,Lipan Apache,HL70005
RACE FULL=1137-9,Little Shell Chippewa,HL70005
RACE FULL=1425-8,Lone Pine,HL70005
RACE FULL=1325-0,Long Island,HL70005
RACE FULL=1048-8,Los Coyotes,HL70005
RACE FULL=1426-6,Lovelock,HL70005
RACE FULL=1618-8,Lower Brule Sioux,HL70005
RACE FULL=1314-4,Lower Elwha,HL70005
RACE FULL=1930-7,Lower Kalskag,HL70005
RACE FULL=1199-9,Lower Muscogee,HL70005
RACE FULL=1619-6,Lower Sioux,HL70005
RACE FULL=1521-4,Lower Skagit,HL70005
RACE FULL=1331-8,Luiseno,HL70005
RACE FULL=1340-9,Lumbee,HL70005
RACE FULL=1342-5,Lummi,HL70005
RACE FULL=1200-5,Machis Lower Creek Indian,HL70005
RACE FULL=2052-9,Madagascar,HL70005
RACE FULL=1344-1,Maidu,HL70005
RACE FULL=1348-2,Makah,HL70005
RACE FULL=2042-0,Malaysian,HL70005
RACE FULL=2049-5,Maldivian,HL70005
RACE FULL=1427-4,Malheur Paiute,HL70005
RACE FULL=1350-8,Maliseet,HL70005
RACE FULL=1352-4,Mandan,HL70005
RACE FULL=1780-6,Manley Hot Springs,HL70005
RACE FULL=1931-5,Manokotak,HL70005
RACE FULL=1227-8,Manzanita,HL70005
RACE FULL=2089-1,Mariana Islander,HL70005
RACE FULL=1728-5,Maricopa,HL70005
RACE FULL=1932-3,Marshall,HL70005
RACE FULL=2090-9,Marshallese,HL70005
RACE FULL=1454-8,Marshantucket Pequot,HL70005
RACE FULL=1889-5,Mary's Igloo,HL70005
RACE FULL=1681-6,Mashpee Wampanoag,HL70005
RACE FULL=1326-8,Matinecock,HL70005
RACE FULL=1354-0,Mattaponi,HL70005
RACE FULL=1060-3,Mattole,HL70005
RACE FULL=1870-5,Mauneluk Inupiat,HL70005
RACE FULL=1779-8,Mcgrath,HL70005
RACE FULL=1620-4,Mdewakanton Sioux,HL70005
RACE FULL=1933-1,Mekoryuk,HL70005
RACE FULL=2100-6,Melanesian,HL70005
RACE FULL=1356-5,Menominee,HL70005
RACE FULL=1781-4,Mentasta Lake,HL70005
RACE FULL=1228-6,Mesa Grande,HL70005
RACE FULL=1015-7,Mescalero Apache,HL70005
RACE FULL=1838-2,Metlakatla,HL70005
RACE FULL=1072-8,Mexican American Indian,HL70005
RACE FULL=1358-1,Miami,HL70005
RACE FULL=1363-1,Miccosukee,HL70005
RACE FULL=1413-4,Michigan Ottawa,HL70005
RACE FULL=1365-6,Micmac,HL70005
RACE FULL=2085-9,Micronesian,HL70005
RACE FULL=2118-8,Middle Eastern or North African,HL70005
RACE FULL=1138-7,Mille Lacs,HL70005
RACE FULL=1621-2,Miniconjou,HL70005
RACE FULL=1139-5,Minnesota Chippewa,HL70005
RACE FULL=1782-2,Minto,HL70005
RACE FULL=1368-0,Mission Indians,HL70005
RACE FULL=1158-5,Mississippi Choctaw,HL70005
RACE FULL=1553-7,Missouri Sac and Fox,HL70005
RACE FULL=1370-6,Miwok,HL70005
RACE FULL=1428-2,Moapa,HL70005
RACE FULL=1372-2,Modoc,HL70005
RACE FULL=1729-3,Mohave,HL70005
RACE FULL=1287-2,Mohawk,HL70005
RACE FULL=1374-8,Mohegan,HL70005
RACE FULL=1396-1,Molala,HL70005
RACE FULL=1376-3,Mono,HL70005
RACE FULL=1327-6,Montauk,HL70005
RACE FULL=1237-7,Moor,HL70005
RACE FULL=1049-6,Morongo,HL70005
RACE FULL=1345-8,Mountain Maidu,HL70005
RACE FULL=1934-9,Mountain Village,HL70005
RACE FULL=1159-3,Mowa Band of Choctaw,HL70005
RACE FULL=1522-2,Muckleshoot,HL70005
RACE FULL=1217-9,Munsee,HL70005
RACE FULL=1935-6,Naknek,HL70005
RACE FULL=1498-5,Nambe,HL70005
RACE FULL=2064-4,Namibian,HL70005
RACE FULL=1871-3,Nana Inupiat,HL70005
RACE FULL=1238-5,Nansemond,HL70005
RACE FULL=1378-9,Nanticoke,HL70005
RACE FULL=1937-2,Napakiak,HL70005
RACE FULL=1938-0,Napaskiak,HL70005
RACE FULL=1936-4,Napaumute,HL70005
RACE FULL=1380-5,Narragansett,HL70005
RACE FULL=1239-3,Natchez,HL70005
RACE FULL=2079-2,Native Hawaiian,HL70005
RACE FULL=2076-8,Native Hawaiian or Other Pacific Islander,HL70005
RACE FULL=1240-1,Nausu Waiwash,HL70005
RACE FULL=1382-1,Navajo,HL70005
RACE FULL=1475-3,Nebraska Ponca,HL70005
RACE FULL=1698-0,Nebraska Winnebago,HL70005
RACE FULL=2016-4,Nelson Lagoon,HL70005
RACE FULL=1783-0,Nenana,HL70005
RACE FULL=2050-3,Nepalese,HL70005
RACE FULL=2104-8,New Hebrides,HL70005
RACE FULL=1940-6,New Stuyahok,HL70005
RACE FULL=1939-8,Newhalen,HL70005
RACE FULL=1941-4,Newtok,HL70005
RACE FULL=1387-0,Nez Perce,HL70005
RACE FULL=2065-1,Nigerian,HL70005
RACE FULL=1942-2,Nightmute,HL70005
